dc:title,dc:description,vann:preferredNamespacePrefix,dc:issued,dc:modified,owl:versionInfo,dc:rights,cc:licence,dc:creator,dc:contributor,dc:publisher,dc:type,rdf:type,Folder title (for URI formula),Namespace URI (formula)
RDA Aspect Ratio Designation,Concepts for a general designation of the ratio of the width to the height of a moving image.,rdaar,2009-03-31,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,AspectRatio,http://rdaregistry.info/termList/AspectRatio
RDA Bibliographic Format,"Concepts for a proportional relationship between a whole sheet and the individual leaves that result if that sheet is left full, cut, or folded in a manifestation.",rdabf,2009-04-12,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,bookFormat,http://rdaregistry.info/termList/bookFormat
RDA Broadcast Standard,Concepts for a system used to format a manifestation of a video for television broadcast.,rdabs,2009-04-14,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,broadcastStand,http://rdaregistry.info/termList/broadcastStand
RDA Carrier Extent Unit,Concepts for a type of unit or subunit of a manifestation.,rdacarx,2016-07-14,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDACarrierEU,http://rdaregistry.info/termList/RDACarrierEU
RDA Carrier Type,"Concepts for a categorization reflecting the format of the storage medium and housing of a carrier in combination with the type of intermediation device required to view, play, run, or otherwise access the content of a manifestation.",rdact,2009-01-01,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDACarrierType,http://rdaregistry.info/termList/RDACarrierType
RDA Cartographic Data Type,Concepts for a machine-readable representation of geospatial features.,rdacdt,2016-07-12,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDACartoDT,http://rdaregistry.info/termList/RDACartoDT
RDA Colour Content,Concepts for an indication of the presence of colour or tone embodied by a manifestation.,rdacc,2015-03-14,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDAColourContent,http://rdaregistry.info/termList/RDAColourContent
RDA Configuration of Playback Channels,Concepts for a number of sound channels used to make a recording.,rdacpc,2009-04-13,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,configPlayback,http://rdaregistry.info/termList/configPlayback
RDA Content Type,Concepts for a categorization that reflects the fundamental form of communication in which  the content is expressed and the human sense through which it is intended to be perceived.,rdaco,2008-12-31,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDAContentType,http://rdaregistry.info/termList/RDAContentType
RDA Extension Plan,Concepts for a categorization that reflects an intention to extend the content of a work.,rdaep,2018-04-18,2021-07-20,v4.1.0,"Copyright © 2020 American Library Association, Canadian Federation of Library Associations, and CILIP: Chartered Institute of Library and Information Professionals",https://creativecommons.org/licenses/by/4.0/deed.en_US,RDA Steering Committee,RSC Technical Working Group,ALA Digital Reference,rdaldw:1002,skos:ConceptScheme,RDAExtensionPlan,http://rdaregistry.info/termList/RDAExtensionPlan
