reg_id,uri,type,"name (en)","label (en)","lexicalAlias (en)","description (en)","note (en)",domain,range,hasUnconstrained,parent_property,inverseOf,status
uri,reg:uri,rdf:type,reg:name,rdfs:label,reg:lexicalAlias,skos:definition,skos:scopeNote,rdfs:domain,rdfs:range,reg:hasUnconstrained,rdfs:subPropertyOf,owl:inverseOf,reg:status
lang,en,,en,en,en,en,en,,,,,,
type,uri,property,,,,,,property,property,property,property,property,property
meta,token,rdaa,,,,,,,,,,,
meta,label,"RDA Agent properties",,,,,,,,,,,
meta,schema_id,81,,,,,,,,,,,
meta,uri,http://rdaregistry.info/Elements/a/,,,,,,,,,,,
meta,note,"Properties derived from RDA elements and relationship designators with the domain of RDA Agent.",,,,,,,,,,,
meta,tags,,,,,,,,,,,,
meta,base_domain,http://rdaregistry.info/Elements/a/,,,,,,,,,,,
meta,type,schema,,,,,,,,,,,
meta,agent_id,177,,,,,,,,,,,
prefix,rdac,http://rdaregistry.info/Elements/c/,,,,,,,,,,,
prefix,rdaa,http://rdaregistry.info/Elements/a/,,,,,,,,,,,
prefix,rdau,http://rdaregistry.info/Elements/u/,,,,,,,,,,,
prefix,rdaw,http://rdaregistry.info/Elements/w/,,,,,,,,,,,
prefix,rdai,http://rdaregistry.info/Elements/i/,,,,,,,,,,,
prefix,rdae,http://rdaregistry.info/Elements/e/,,,,,,,,,,,
prefix,rdam,http://rdaregistry.info/Elements/m/,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,
prefix,rdaz,http://rdaregistry.info/Elements/z/,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,
prefix,mrc,http://id.loc.gov/vocabulary/relators/,,,,,,,,,,,
prefix,rdakit,http://rdaregistry.info/Elements/toolkit/,,,,,,,,,,,
prefix,regstat,http://metadataregistry.org/uri/RegStatus/,,,,,,,,,,,
,rdaa:P50001,property,respondentOf,"is respondent of",rdaa:respondentOf,"Relates a candidate for a degree who defends or opposes a thesis provided by the praeses in an academic disputation to the work.",,rdac:C10004,rdac:C10001,rdau:P60001,rdaa:P50204,rdaw:P10001,1
,rdaa:P50002,property,appelleeCorporateBodyOf,"is appellee corporate body of",rdaa:appelleeCorporateBodyOf,"Relates a corporate body against whom an appeal is taken on the decision of a lower court recorded in a legal work of a higher court to the work.",,rdac:C10005,rdac:C10001,rdau:P60601,rdaa:P50087,rdaw:P10005,1
