reg_id,uri,type,name (en),label (en),lexicalAlias (en),description (en),note (en),domain,range,hasUnconstrained,parent_property,inverseOf,status
uri,reg:uri,rdf:type,reg:name,rdfs:label,reg:lexicalAlias,skos:definition,skos:scopeNote,rdfs:domain,rdfs:range,reg:hasUnconstrained,rdfs:subPropertyOf,owl:inverseOf,reg:status
lang,en,,en,en,en,en,en,,,,,,
type,uri,property,,,,,,property,property,property,property,property,property
meta,token,rdam,,,,,,,,,,,
meta,label,RDA Manifestation properties,,,,,,,,,,,
meta,schema_id,79,,,,,,,,,,,
meta,uri,http://rdaregistry.info/Elements/m/,,,,,,,,,,,
meta,note,Properties derived from RDA elements and relationship designators with the domain of RDA Manifestation.,,,,,,,,,,,
meta,tags,,,,,,,,,,,,
meta,base_domain,http://rdaregistry.info/Elements/m/,,,,,,,,,,,
meta,type,schema,,,,,,,,,,,
meta,agent_id,177,,ALA Publishing,,,,,,,,,
meta,user_id,422,,JSC Chair,,,,,,,,,
prefix,rdac,http://rdaregistry.info/Elements/c/,,,,,,,,,,,
prefix,rdaa,http://rdaregistry.info/Elements/a/,,,,,,,,,,,
prefix,rdau,http://rdaregistry.info/Elements/u/,,,,,,,,,,,
prefix,rdaw,http://rdaregistry.info/Elements/w/,,,,,,,,,,,
prefix,rdai,http://rdaregistry.info/Elements/i/,,,,,,,,,,,
prefix,rdae,http://rdaregistry.info/Elements/e/,,,,,,,,,,,
prefix,rdam,http://rdaregistry.info/Elements/m/,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,
prefix,rdaz,http://rdaregistry.info/Elements/z/,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,
prefix,mrc,http://id.loc.gov/vocabulary/relators/,,,,,,,,,,,
prefix,rdakit,http://rdaregistry.info/Elements/toolkit/,,,,,,,,,,,
prefix,regstat,http://metadataregistry.org/uri/RegStatus/,,,,,,,,,,,
,rdam:P30001,property,carrierType,has carrier type,rdam:carrierType,"Relates a manifestation to a categorization reflecting the format of the storage medium and housing of a carrier in combination with the type of intermediation device required to view, play, run, etc., the content of a resource.",,rdac:C10007,,rdau:P60048,,,1
,rdam:P30002,property,mediaType,has media type,rdam:mediaType,"Relates a manifestation to a categorization reflecting the general type of intermediation device required to view, play, run, etc., the content of a resource.",,rdac:C10007,,rdau:P60050,,,1
,rdam:P30003,property,modeOfIssuance,has mode of issuance,rdam:modeOfIssuance,"Relates a manifestation to a categorization reflecting whether a resource is issued in one or more parts, the way it is updated, and its intended termination.",,rdac:C10007,,rdau:P60051,,,1
