Deprecated elements,Lexical curies in English
rdaa:P50031,rdaa:placeAssociatedWithCorporateBody.en
rdaa:P50033,rdaa:otherDesignationAssociatedWithCorporateBody.en
rdaa:P50034,rdaa:associatedInstitution.en
rdaa:P50040,rdaa:dateAssociatedWithCorporateBody.en
rdaa:P50057,rdaa:placeAssociatedWithFamily.en
rdaa:P50058,rdaa:dateAssociatedWithFamily.en
rdaa:P50069,rdaa:jurisdictionGovernedOf.en
rdaa:P50087,rdaa:appelleeOf.en
rdaa:P50088,rdaa:appellantOf.en
rdaa:P50089,rdaa:plaintiffOf.en
rdaa:P50090,rdaa:defendantOf.en
rdaa:P50093,rdaa:undifferentiatedNameIndicator.en
rdaa:P50101,rdaa:affiliation.en
rdaa:P50105,rdaa:alternateIdentity.en
rdaa:P50106,rdaa:realIdentity.en
rdaa:P50107,rdaa:dateAssociatedWithPerson.en
rdaa:P50108,rdaa:otherDesignationAssociatedWithPerson.en
rdaa:P50131,rdaa:otherAgentWorkOf.en
rdaa:P50134,rdaa:composerExpressionOf.en
rdaa:P50135,rdaa:surveyorOf.en
rdaa:P50138,rdaa:writerOfAddedTextOf.en
rdaa:P50149,rdaa:writerOfPrefaceOf.en
rdaa:P50150,rdaa:cartographerExpressionOf.en
rdaa:P50151,rdaa:choreographerExpressionOf.en
rdaa:P50152,rdaa:writerOfAddedCommentaryOf.en
rdaa:P50153,rdaa:writerOfIntroductionOf.en
rdaa:P50154,rdaa:writerOfSupplementaryTextualContentOf.en
rdaa:P50156,rdaa:editorOf.en
rdaa:P50159,rdaa:illustratorOf.en
rdaa:P50181,rdaa:otherAgentManifestationOf.en
rdaa:P50182,rdaa:otherAgentItemOf.en
rdaa:P50216,rdaa:writerOfAddedLyricsOf.en
rdaa:P50227,rdaa:writerOfAfterwordOf.en
rdaa:P50228,rdaa:writerOfPostfaceOf.en
rdaa:P50239,rdaa:otherDesignation.en
rdaa:P50254,rdaa:writerOfForewordOf.en
rdaa:P50260,rdaa:otherPlaceAssociatedWithCorporateBody.en
rdaa:P50272,rdaa:photographerExpressionOf.en
rdaa:P50451,
rdaa:P50452,
rdae:P20003,rdae:otherDistinguishingCharacteristicOfExpression.en
rdae:P20007,rdae:languageOfContent.en
rdae:P20026,rdae:composerExpression.en
rdae:P20027,rdae:surveyor.en
rdae:P20030,rdae:writerOfAddedText.en
rdae:P20041,rdae:writerOfPreface.en
rdae:P20042,rdae:cartographerExpression.en
rdae:P20043,rdae:choreographerExpression.en
rdae:P20044,rdae:writerOfAddedCommentary.en
rdae:P20045,rdae:writerOfIntroduction.en
rdae:P20046,rdae:writerOfSupplementaryTextualContent.en
rdae:P20048,rdae:editor.en
rdae:P20051,rdae:illustrator.en
rdae:P20068,rdae:writerOfAddedLyrics.en
rdae:P20206,rdae:supplementaryContent.en
rdae:P20207,rdae:illustrativeContent.en
rdae:P20208,rdae:accessibilityContent.en
rdae:P20224,rdae:colourContent.en
