*preferred label[0]_en,alternative label[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,*uri,*status
acrylic paint (Deprecated),,acrylic paint (Deprecated),An applied material consisting of pigment or dye bound in an emulsion of acrylic resin. (Deprecated),An applied material consisting of pigment or dye bound in an emulsion of acrylic resin. (Deprecated),http://rdaregistry.info/termList/RDAappliedMaterial/1001,Deprecated
chalk (Deprecated),,chalk (Deprecated),"An applied material consisting of fine-grained limestone, or a soft, earthy form of calcium carbonate. (Deprecated)","An applied material consisting of fine-grained limestone, or a soft, earthy form of calcium carbonate. (Deprecated)",http://rdaregistry.info/termList/RDAappliedMaterial/1002,Deprecated
charcoal (Deprecated),,charcoal (Deprecated),"An applied material consisting of the dark grey residue made of carbon, and any remaining ash, obtained by removing water and other volatile constituents from animal and plant substances. (Deprecated)","An applied material consisting of the dark grey residue made of carbon, and any remaining ash, obtained by removing water and other volatile constituents from animal and plant substances. (Deprecated)",http://rdaregistry.info/termList/RDAappliedMaterial/1003,Deprecated
crayon (Deprecated),,,,,http://rdaregistry.info/termList/RDAappliedMaterial/1004,Deprecated
dye (Deprecated),,dye (Deprecated),An applied material consisting of a coloured substance dissolved or suspended in a liquid that can be absorbed by the base material. (Deprecated),An applied material consisting of a coloured substance dissolved or suspended in a liquid that can be absorbed by the base material. (Deprecated),http://rdaregistry.info/termList/RDAappliedMaterial/1005,Deprecated
gouache (Deprecated),,gouache (Deprecated),"An applied material consisting of pigment and a binding agent, and sometimes added inert materials, to form an opaque, coloured, water-soluble paint. Includes poster paints. The term originally referred to the technique of oil paint applied on top of tempera. (Deprecated)","An applied material consisting of pigment and a binding agent, and sometimes added inert materials, to form an opaque, coloured, water-soluble paint. Includes poster paints. The term originally referred to the technique of oil paint applied on top of tempera. (Deprecated)",http://rdaregistry.info/termList/RDAappliedMaterial/1006,Deprecated
ink (Deprecated),,ink (Deprecated),An applied material consisting of pigment or dye contained in a liquid or paste. (Deprecated),An applied material consisting of pigment or dye contained in a liquid or paste. (Deprecated),http://rdaregistry.info/termList/RDAappliedMaterial/1007,Deprecated
oil paint (Deprecated),,oil paint (Deprecated),An applied material consisting of pigment suspended in a drying oil. (Deprecated),An applied material consisting of pigment suspended in a drying oil. (Deprecated),http://rdaregistry.info/termList/RDAappliedMaterial/1008,Deprecated
pastel (Deprecated),,pastel (Deprecated),"An applied material consisting of pigment mixed with a binder, usually in the form of a stick. (Deprecated)","An applied material consisting of pigment mixed with a binder, usually in the form of a stick. (Deprecated)",http://rdaregistry.info/termList/RDAappliedMaterial/1009,Deprecated
graphite (Deprecated),,graphite (Deprecated),"An applied material consisting of a naturally occurring allotrope of carbon which is opaque, soft, greasy to the touch, and iron black to steel gray in color. It is used in the form of powder, sticks, or in pencils. (Deprecated)","An applied material consisting of a naturally occurring allotrope of carbon which is opaque, soft, greasy to the touch, and iron black to steel gray in color. It is used in the form of powder, sticks, or in pencils. (Deprecated)",http://rdaregistry.info/termList/RDAappliedMaterial/1010,Deprecated
