*preferred label[0]_en,definition[0]_en,*uri,*status
Arranged (Deprecated),,http://rdaregistry.info/termList/distCharMusical/1001,Deprecated
Sketches (Deprecated),,http://rdaregistry.info/termList/distCharMusical/1002,Deprecated
Vocal score (Deprecated),,http://rdaregistry.info/termList/distCharMusical/1003,Deprecated
Vocal scores (Deprecated),,http://rdaregistry.info/termList/distCharMusical/1004,Deprecated
Chorus (Deprecated),,http://rdaregistry.info/termList/distCharMusical/1005,Deprecated
Chorus scores (Deprecated),,http://rdaregistry.info/termList/distCharMusical/1006,Deprecated
Libretto (Deprecated),,http://rdaregistry.info/termList/distCharMusical/1007,Deprecated
Librettos (Deprecated),,http://rdaregistry.info/termList/distCharMusical/1008,Deprecated
Text (Deprecated),,http://rdaregistry.info/termList/distCharMusical/1009,Deprecated
Texts (Deprecated),,http://rdaregistry.info/termList/distCharMusical/1010,Deprecated
