*preferred label[0]_en,*uri,*status,has broader[0],has narrower[0]
Audio encoding formats (Deprecated),http://rdaregistry.info/termList/encFormat/1001,Deprecated,,
Data encoding formats (Deprecated),http://rdaregistry.info/termList/encFormat/1002,Deprecated,,
Image encoding formats (Deprecated),http://rdaregistry.info/termList/encFormat/1003,Deprecated,,
Spatial data encoding formats (Deprecated),http://rdaregistry.info/termList/encFormat/1004,Deprecated,,
Text encoding formats (Deprecated),http://rdaregistry.info/termList/encFormat/1005,Deprecated,,
Video encoding formats (Deprecated),http://rdaregistry.info/termList/encFormat/1006,Deprecated,,
CD audio (Deprecated),http://rdaregistry.info/termList/encFormat/1007,Deprecated,,
DAISY (Deprecated),http://rdaregistry.info/termList/encFormat/1008,Deprecated,,
DVD-Audio (Deprecated),http://rdaregistry.info/termList/encFormat/1009,Deprecated,,
MP3 (Deprecated),http://rdaregistry.info/termList/encFormat/1010,Deprecated,,
RealAudio (Deprecated),http://rdaregistry.info/termList/encFormat/1011,Deprecated,,
SACD (Deprecated),http://rdaregistry.info/termList/encFormat/1012,Deprecated,,
WAV (Deprecated),http://rdaregistry.info/termList/encFormat/1013,Deprecated,,
Access (Deprecated),http://rdaregistry.info/termList/encFormat/1014,Deprecated,,
Excel (Deprecated),http://rdaregistry.info/termList/encFormat/1015,Deprecated,,
Lotus (Deprecated),http://rdaregistry.info/termList/encFormat/1016,Deprecated,,
XML (Deprecated),http://rdaregistry.info/termList/encFormat/1017,Deprecated,,
BMP (Deprecated),http://rdaregistry.info/termList/encFormat/1018,Deprecated,,
GIF (Deprecated),http://rdaregistry.info/termList/encFormat/1019,Deprecated,,
JPEG (Deprecated),http://rdaregistry.info/termList/encFormat/1020,Deprecated,,
JPEG2000 (Deprecated),http://rdaregistry.info/termList/encFormat/1021,Deprecated,,
PNG (Deprecated),http://rdaregistry.info/termList/encFormat/1022,Deprecated,,
TIFF (Deprecated),http://rdaregistry.info/termList/encFormat/1023,Deprecated,,
Arc/info (Deprecated),http://rdaregistry.info/termList/encFormat/1024,Deprecated,,
BIL (Deprecated),http://rdaregistry.info/termList/encFormat/1025,Deprecated,,
BSQ (Deprecated),http://rdaregistry.info/termList/encFormat/1026,Deprecated,,
CAD (Deprecated),http://rdaregistry.info/termList/encFormat/1027,Deprecated,,
DEM (Deprecated),http://rdaregistry.info/termList/encFormat/1028,Deprecated,,
E00 (Deprecated),http://rdaregistry.info/termList/encFormat/1029,Deprecated,,
MID/MIF (Deprecated),http://rdaregistry.info/termList/encFormat/1030,Deprecated,,
ASCII (Deprecated),http://rdaregistry.info/termList/encFormat/1031,Deprecated,,
HTML (Deprecated),http://rdaregistry.info/termList/encFormat/1032,Deprecated,,
MS Word (Deprecated),http://rdaregistry.info/termList/encFormat/1033,Deprecated,,
PDF (Deprecated),http://rdaregistry.info/termList/encFormat/1034,Deprecated,,
RTF (Deprecated),http://rdaregistry.info/termList/encFormat/1035,Deprecated,,
SGML (Deprecated),http://rdaregistry.info/termList/encFormat/1036,Deprecated,,
TeX (Deprecated),http://rdaregistry.info/termList/encFormat/1037,Deprecated,,
Word Perfect (Deprecated),http://rdaregistry.info/termList/encFormat/1038,Deprecated,,
XHTML (Deprecated),http://rdaregistry.info/termList/encFormat/1039,Deprecated,,
Blu-ray (Deprecated),http://rdaregistry.info/termList/encFormat/1040,Deprecated,,
DVD-R (Deprecated),http://rdaregistry.info/termList/encFormat/1041,Deprecated,,
DVD video (Deprecated),http://rdaregistry.info/termList/encFormat/1042,Deprecated,,
MPEG-4 (Deprecated),http://rdaregistry.info/termList/encFormat/1043,Deprecated,,
Quicktime (Deprecated),http://rdaregistry.info/termList/encFormat/1044,Deprecated,,
RealVideo (Deprecated),http://rdaregistry.info/termList/encFormat/1045,Deprecated,,
SVCD (Deprecated),http://rdaregistry.info/termList/encFormat/1046,Deprecated,,
VCD (Deprecated),http://rdaregistry.info/termList/encFormat/1047,Deprecated,,
Windows media (Deprecated),http://rdaregistry.info/termList/encFormat/1048,Deprecated,,
HD-DVD (Deprecated),http://rdaregistry.info/termList/encFormat/1049,Deprecated,,
Megadots (Deprecated),http://rdaregistry.info/termList/encFormat/1050,Deprecated,,
