*preferred label[0]_en,alternative label[0]_en,definition[0]_en,scope note[0]_en,*uri,*status,related to[0]
audio cartridge (Deprecated),,A cartridge containing an audio tape.  (Deprecated),,http://rdaregistry.info/termList/extent/1002,Deprecated,
audio cartridges (Deprecated),,Cartridges containing an audio tape.  (Deprecated),,http://rdaregistry.info/termList/extent/1003,Deprecated,
audio cylinder (Deprecated),,A roller-shaped object on which sound waves are incised or indented in a continuous circular groove. (Deprecated),"Includes wax cylinders, wire cylinders, etc. ",http://rdaregistry.info/termList/extent/1004,Deprecated,
audio cylinders (Deprecated),,Roller-shaped objects on which sound waves are incised or indented in a continuous circular groove. (Deprecated),"Includes wax cylinders, wire cylinders, etc. ",http://rdaregistry.info/termList/extent/1005,Deprecated,
audio disc (Deprecated),sound disc (Deprecated),"A disc on which sound waves, recorded as modulations, pulses, etc., are incised or indented in a continuous spiral groove. (Deprecated)",,http://rdaregistry.info/termList/extent/1006,Deprecated,
audio discs (Deprecated),sound discs (Deprecated),"Discs on which sound waves, recorded as modulations, pulses, etc., are incised or indented in a continuous spiral groove.  (Deprecated)",,http://rdaregistry.info/termList/extent/1007,Deprecated,
audio roll (Deprecated),piano roll (Deprecated),"A roll of paper on which musical notes are represented by perforations, designed to mechanically reproduce the music when used in a player piano, player organ, etc (Deprecated)","Use for piano rolls, etc. ",http://rdaregistry.info/termList/extent/1008,Deprecated,
audio rolls (Deprecated),piano rolls (Deprecated),"Rolls of paper on which musical notes are represented by perforations, designed to mechanically reproduce the music when used in a player piano, player organ, etc.  (Deprecated)","Use for piano rolls, etc. ",http://rdaregistry.info/termList/extent/1009,Deprecated,
audiocassette (Deprecated),,A cassette containing an audio tape. (Deprecated),,http://rdaregistry.info/termList/extent/1010,Deprecated,
audiocassettes (Deprecated),,Cassettes containing an audio tape.  (Deprecated),,http://rdaregistry.info/termList/extent/1011,Deprecated,
audiotape reel (Deprecated),,An open reel holding a length of audio tape to be used with reel-to-reel audio equipment. (Deprecated),,http://rdaregistry.info/termList/extent/1012,Deprecated,
audiotape reels (Deprecated),,Open reels holding a length of audio tape to be used with reel-to-reel audio equipment.  (Deprecated),,http://rdaregistry.info/termList/extent/1013,Deprecated,
sound-track reel (Deprecated),,An open reel holding a length of film on which sound is recorded. (Deprecated),"Use for sound-track films, whether or not they are intended to accompany visual images on film.",http://rdaregistry.info/termList/extent/1015,Deprecated,
sound-track reels (Deprecated),,Open reels holding a length of film on which sound is recorded. (Deprecated),"Use for sound-track films, whether or not they are intended to accompany visual images on film.",http://rdaregistry.info/termList/extent/1016,Deprecated,
computer card (Deprecated),,A card containing digitally encoded data designed for use with a computer. (Deprecated),,http://rdaregistry.info/termList/extent/1017,Deprecated,
computer cards (Deprecated),,Cards containing digitally encoded data designed for use with a computer. (Deprecated),,http://rdaregistry.info/termList/extent/1018,Deprecated,
computer chip cartridge (Deprecated),,A cartridge containing a miniaturized electronic circuit on a small wafer of semiconductor silicon. (Deprecated),,http://rdaregistry.info/termList/extent/1019,Deprecated,
computer chip cartridges (Deprecated),,Cartridges containing a miniaturized electronic circuit on a small wafer of semiconductor silicon. (Deprecated),,http://rdaregistry.info/termList/extent/1020,Deprecated,
computer disc (Deprecated),,"A disc containing digitally encoded data, magnetically or optically recorded. (Deprecated)",,http://rdaregistry.info/termList/extent/1021,Deprecated,
computer discs (Deprecated),,"Discs containing digitally encoded data, magnetically or optically recorded. (Deprecated)",,http://rdaregistry.info/termList/extent/1022,Deprecated,
computer disc cartridge (Deprecated),,A cartridge containing one or more computer discs. (Deprecated),,http://rdaregistry.info/termList/extent/1023,Deprecated,
computer disc cartridges (Deprecated),,Cartridges containing one or more computer discs. (Deprecated),,http://rdaregistry.info/termList/extent/1024,Deprecated,
computer tape cartridge (Deprecated),,A cartridge containing a computer tape. (Deprecated),,http://rdaregistry.info/termList/extent/1025,Deprecated,
computer tape cartridges (Deprecated),,Cartridges containing a computer tape. (Deprecated),,http://rdaregistry.info/termList/extent/1026,Deprecated,
computer tape cassette (Deprecated),,A cassette containing a computer tape. (Deprecated),,http://rdaregistry.info/termList/extent/1027,Deprecated,
computer tape cassettes (Deprecated),,Cassettes containing a computer tape. (Deprecated),,http://rdaregistry.info/termList/extent/1028,Deprecated,
computer tape reel (Deprecated),,An open reel holding a length of computer tape to be used with a computer tape drive. (Deprecated),,http://rdaregistry.info/termList/extent/1029,Deprecated,
computer tape reels (Deprecated),,Open reels holding a length of computer tape to be used with a computer tape drive. (Deprecated),,http://rdaregistry.info/termList/extent/1030,Deprecated,
online resource (Deprecated),,A digital resource accessed by means of hardware and software connections to a communications network. (Deprecated),,http://rdaregistry.info/termList/extent/1031,Deprecated,
