*preferred label[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,*uri,*status
activity card (Deprecated),activity card (Deprecated),"A unit of extent of still image that is a card printed with words, numerals, and/or pictures to be used by an individual or a group as a basis for performing a specific activity. Usually issued in sets. (Deprecated)","A unit of extent of still image that is a card printed with words, numerals, and/or pictures to be used by an individual or a group as a basis for performing a specific activity. Usually issued in sets. (Deprecated)",http://rdaregistry.info/termList/extentImage/1001,Deprecated
chart (Deprecated),chart (Deprecated),"A two-dimensional representation of data in graphic or tabular form (e.g., a wall chart). (Deprecated)","A two-dimensional representation of data in graphic or tabular form (e.g., a wall chart). (Deprecated)",http://rdaregistry.info/termList/extentImage/1002,Deprecated
collage (Deprecated),collage (Deprecated),"A unit of extent of still image consisting of a work in two dimensions or very low relief that were made by affixing paper, fabrics, photographs, or other materials onto a flat surface. (Deprecated)","A unit of extent of still image consisting of a work in two dimensions or very low relief that were made by affixing paper, fabrics, photographs, or other materials onto a flat surface. (Deprecated)",http://rdaregistry.info/termList/extentImage/1003,Deprecated
drawing (Deprecated),drawing (Deprecated),"A unit of extent of still image consisting of a visual work produced by drawing, which is the application of lines on a surface, often paper, by using a pencil, pen, chalk, or some other tracing instrument to focus on the delineation of form rather than the application of color. This term is often defined broadly to refer to computer-generated images as well. (Deprecated)","A unit of extent of still image consisting of a visual work produced by drawing, which is the application of lines on a surface, often paper, by using a pencil, pen, chalk, or some other tracing instrument to focus on the delineation of form rather than the application of color. This term is often defined broadly to refer to computer-generated images as well. (Deprecated)",http://rdaregistry.info/termList/extentImage/1004,Deprecated
flash card (Deprecated),flash card (Deprecated),"A card or other opaque material printed with words, numerals, or pictures and designed for rapid display. (Deprecated)","A card or other opaque material printed with words, numerals, or pictures and designed for rapid display. (Deprecated)",http://rdaregistry.info/termList/extentImage/1005,Deprecated
icon (Deprecated),icon (Deprecated),"A unit of extent of still image consisting of an image that portrays a sacred entity and that is itself regarded as sacred. Most commonly comprising tempera on panel, but it may be in any two-dimensional or relief medium, including fresco. (Deprecated)","A unit of extent of still image consisting of an image that portrays a sacred entity and that is itself regarded as sacred. Most commonly comprising tempera on panel, but it may be in any two-dimensional or relief medium, including fresco. (Deprecated)",http://rdaregistry.info/termList/extentImage/1006,Deprecated
painting (Deprecated),painting (Deprecated),"A unit of extent of still image consisting of an item in which images are formed primarily by the direct application of pigment suspended in a medium, arranged in masses of color onto a generally two-dimensional surface. (Deprecated)","A unit of extent of still image consisting of an item in which images are formed primarily by the direct application of pigment suspended in a medium, arranged in masses of color onto a generally two-dimensional surface. (Deprecated)",http://rdaregistry.info/termList/extentImage/1007,Deprecated
photograph (Deprecated),photograph (Deprecated),,,http://rdaregistry.info/termList/extentImage/1008,Deprecated
picture (Deprecated),picture (Deprecated),,,http://rdaregistry.info/termList/extentImage/1009,Deprecated
postcard (Deprecated),postcard (Deprecated),A unit of extent of still image consisting of a card on which a message may be written or printed for mailing without an envelope. (Deprecated),A unit of extent of still image consisting of a card on which a message may be written or printed for mailing without an envelope. (Deprecated),http://rdaregistry.info/termList/extentImage/1010,Deprecated
poster (Deprecated),poster (Deprecated),"A unit of extent of still image consisting of a notice, usually decorative or pictorial, intended to be posted to advertise, promote, or publicize an activity, cause, product, or service; also, a decorative, mass-produced print intended for hanging. (Deprecated)","A unit of extent of still image consisting of a notice, usually decorative or pictorial, intended to be posted to advertise, promote, or publicize an activity, cause, product, or service; also, a decorative, mass-produced print intended for hanging. (Deprecated)",http://rdaregistry.info/termList/extentImage/1011,Deprecated
print (Deprecated),print (Deprecated),"A unit of extent of still image consisting of a pictorial work produced by transferring an image by means of a matrix such as a plate, block, or screen, using any of various printing processes. (Deprecated)","A unit of extent of still image consisting of a pictorial work produced by transferring an image by means of a matrix such as a plate, block, or screen, using any of various printing processes. (Deprecated)",http://rdaregistry.info/termList/extentImage/1012,Deprecated
radiograph (Deprecated),radiograph (Deprecated),"A photograph produced by the passage of radiation, such as X rays, gamma rays, or neutrons, through an opaque object. (Deprecated)","A photograph produced by the passage of radiation, such as X rays, gamma rays, or neutrons, through an opaque object. (Deprecated)",http://rdaregistry.info/termList/extentImage/1013,Deprecated
study print (Deprecated),study print (Deprecated),,,http://rdaregistry.info/termList/extentImage/1014,Deprecated
technical drawing (Deprecated),technical drawing (Deprecated),"A unit of extent of still image consisting of a cross section, detail, diagram, elevation, perspective, plan, working plan, etc., made for use in an engineering or other technical context. (Deprecated)","A unit of extent of still image consisting of a cross section, detail, diagram, elevation, perspective, plan, working plan, etc., made for use in an engineering or other technical context. (Deprecated)",http://rdaregistry.info/termList/extentImage/1015,Deprecated
wall chart (Deprecated),wall chart (Deprecated),,,http://rdaregistry.info/termList/extentImage/1016,Deprecated
activity cards (Deprecated),activity cards (Deprecated),"Cards printed with words, numerals, and/or pictures to be used by an individual or a group as a basis for performing a specific activity. Usually issued in sets. (Deprecated)","Cards printed with words, numerals, and/or pictures to be used by an individual or a group as a basis for performing a specific activity. Usually issued in sets. (Deprecated)",http://rdaregistry.info/termList/extentImage/1017,Deprecated
charts (Deprecated),charts (Deprecated),"Two-dimensional representations of data in graphic or tabular form (e.g., wall charts). (Deprecated)","Two-dimensional representations of data in graphic or tabular form (e.g., wall charts). (Deprecated)",http://rdaregistry.info/termList/extentImage/1018,Deprecated
collages (Deprecated),collages (Deprecated),,,http://rdaregistry.info/termList/extentImage/1019,Deprecated
drawings (Deprecated),drawings (Deprecated),,,http://rdaregistry.info/termList/extentImage/1020,Deprecated
flash cards (Deprecated),flash cards (Deprecated),"Cards or other opaque materials printed with words, numerals, or pictures and designed for rapid display. (Deprecated)","Cards or other opaque materials printed with words, numerals, or pictures and designed for rapid display. (Deprecated)",http://rdaregistry.info/termList/extentImage/1021,Deprecated
icons (Deprecated),icons (Deprecated),,,http://rdaregistry.info/termList/extentImage/1022,Deprecated
paintings (Deprecated),paintings (Deprecated),,,http://rdaregistry.info/termList/extentImage/1023,Deprecated
photographs (Deprecated),photographs (Deprecated),,,http://rdaregistry.info/termList/extentImage/1024,Deprecated
pictures (Deprecated),pictures (Deprecated),,,http://rdaregistry.info/termList/extentImage/1025,Deprecated
postcards (Deprecated),postcards (Deprecated),,,http://rdaregistry.info/termList/extentImage/1026,Deprecated
posters (Deprecated),posters (Deprecated),,,http://rdaregistry.info/termList/extentImage/1027,Deprecated
prints (Deprecated),prints (Deprecated),,,http://rdaregistry.info/termList/extentImage/1028,Deprecated
radiographs (Deprecated),radiographs (Deprecated),"Photographs produced by the passage of radiation, such as X rays, gamma rays, or neutrons, through an opaque object. (Deprecated)","Photographs produced by the passage of radiation, such as X rays, gamma rays, or neutrons, through an opaque object. (Deprecated)",http://rdaregistry.info/termList/extentImage/1029,Deprecated
study prints (Deprecated),study prints (Deprecated),,,http://rdaregistry.info/termList/extentImage/1030,Deprecated
