*preferred label[0]_en,definition[0]_en,*uri,*status
page (Deprecated),,http://rdaregistry.info/termList/extentText/1001,Deprecated
leaf (Deprecated),,http://rdaregistry.info/termList/extentText/1002,Deprecated
column (Deprecated),,http://rdaregistry.info/termList/extentText/1003,Deprecated
sheet (Deprecated),"A flat piece of thin material (paper, plastic, etc.). (Deprecated)",http://rdaregistry.info/termList/extentText/1004,Deprecated
folded (Deprecated),,http://rdaregistry.info/termList/extentText/1005,Deprecated
portfolio (Deprecated),"A unit of extent of text that is a container for holding loose materials (e.g., paintings, drawings, papers, unbound sections of a book, and similar materials) usually consisting of two covers joined together at the back. (Deprecated)",http://rdaregistry.info/termList/extentText/1006,Deprecated
case (Deprecated),A box containing bound or unbound resources. (Deprecated),http://rdaregistry.info/termList/extentText/1007,Deprecated
volume (Deprecated),One or more sheets bound or fastened together to form a single unit. (Deprecated),http://rdaregistry.info/termList/extentText/1008,Deprecated
volume (loose-leaf) (Deprecated),,http://rdaregistry.info/termList/extentText/1009,Deprecated
unnumbered pages (Deprecated),,http://rdaregistry.info/termList/extentText/1010,Deprecated
approximately (Deprecated),,http://rdaregistry.info/termList/extentText/1011,Deprecated
unnumbered sequence of pages (Deprecated),,http://rdaregistry.info/termList/extentText/1012,Deprecated
incomplete (Deprecated),,http://rdaregistry.info/termList/extentText/1013,Deprecated
in various pagings (Deprecated),,http://rdaregistry.info/termList/extentText/1014,Deprecated
in various foliations (Deprecated),,http://rdaregistry.info/termList/extentText/1015,Deprecated
in various numberings (Deprecated),,http://rdaregistry.info/termList/extentText/1016,Deprecated
