*preferred label[0]_en,*uri,*status
Bar by bar (Deprecated),http://rdaregistry.info/termList/layoutTacMusic/1001,Deprecated
Bar over bar (Deprecated),http://rdaregistry.info/termList/layoutTacMusic/1002,Deprecated
Line by line (Deprecated),http://rdaregistry.info/termList/layoutTacMusic/1003,Deprecated
Line over line (Deprecated),http://rdaregistry.info/termList/layoutTacMusic/1004,Deprecated
Melody chord system (Deprecated),http://rdaregistry.info/termList/layoutTacMusic/1005,Deprecated
Open score (Deprecated),http://rdaregistry.info/termList/layoutTacMusic/1006,Deprecated
Outline (Deprecated),http://rdaregistry.info/termList/layoutTacMusic/1007,Deprecated
Paragraph (Deprecated),http://rdaregistry.info/termList/layoutTacMusic/1008,Deprecated
Section by section (Deprecated),http://rdaregistry.info/termList/layoutTacMusic/1009,Deprecated
Short form scoring (Deprecated),http://rdaregistry.info/termList/layoutTacMusic/1010,Deprecated
Single line (Deprecated),http://rdaregistry.info/termList/layoutTacMusic/1011,Deprecated
Vertical score (Deprecated),http://rdaregistry.info/termList/layoutTacMusic/1012,Deprecated
