*preferred label[0]_en,note[0]_en,definition[0]_en,*uri,*status,has broader[0],has narrower[0]
Standard combination (Deprecated),,,http://rdaregistry.info/termList/medPerform/1001,Deprecated,,
Individual instruments (Deprecated),,,http://rdaregistry.info/termList/medPerform/1002,Deprecated,,
Groups of instruments (Deprecated),,,http://rdaregistry.info/termList/medPerform/1003,Deprecated,,
"Orchestra, etc. (Deprecated)",,,http://rdaregistry.info/termList/medPerform/1004,Deprecated,,
Solo voices (Deprecated),,,http://rdaregistry.info/termList/medPerform/1005,Deprecated,,
Two or more solo voices (Deprecated),,,http://rdaregistry.info/termList/medPerform/1006,Deprecated,,
Choruses (Deprecated),,,http://rdaregistry.info/termList/medPerform/1007,Deprecated,,
"Accompaniment for songs, Lieder, etc. (Deprecated)",,,http://rdaregistry.info/termList/medPerform/1008,Deprecated,,
Piano strings (Deprecated),,,http://rdaregistry.info/termList/medPerform/1012,Deprecated,,
Piano (Deprecated),,,http://rdaregistry.info/termList/medPerform/1013,Deprecated,,
"Piano, 4 hands (Deprecated)",,,http://rdaregistry.info/termList/medPerform/1014,Deprecated,,
Pianos (2) (Deprecated),,,http://rdaregistry.info/termList/medPerform/1015,Deprecated,,
"Pianos (2), 8 hands (Deprecated)",,,http://rdaregistry.info/termList/medPerform/1016,Deprecated,,
Organs (2) (Deprecated),,,http://rdaregistry.info/termList/medPerform/1017,Deprecated,,
Continuo (Deprecated),,,http://rdaregistry.info/termList/medPerform/1018,Deprecated,,
Keyboard instrument (Deprecated),,,http://rdaregistry.info/termList/medPerform/1019,Deprecated,,
percussion (Deprecated),,,http://rdaregistry.info/termList/medPerform/1021,Deprecated,,
instrumental ensemble (Deprecated),,,http://rdaregistry.info/termList/medPerform/1024,Deprecated,,
Orchestra (Deprecated),,,http://rdaregistry.info/termList/medPerform/1025,Deprecated,,
String orchestra (Deprecated),,,http://rdaregistry.info/termList/medPerform/1026,Deprecated,,
Soprano (Deprecated),,,http://rdaregistry.info/termList/medPerform/1027,Deprecated,,
Mezzo-soprano (Deprecated),,,http://rdaregistry.info/termList/medPerform/1028,Deprecated,,
Alto (Deprecated),,,http://rdaregistry.info/termList/medPerform/1029,Deprecated,,
Tenor (Deprecated),,,http://rdaregistry.info/termList/medPerform/1030,Deprecated,,
Baritone (Deprecated),,,http://rdaregistry.info/termList/medPerform/1031,Deprecated,,
Bass (Deprecated),,,http://rdaregistry.info/termList/medPerform/1032,Deprecated,,
Mixed solo voices (Deprecated),,,http://rdaregistry.info/termList/medPerform/1033,Deprecated,,
Men's solo voices (Deprecated),,,http://rdaregistry.info/termList/medPerform/1034,Deprecated,,
Women's solo voices (Deprecated),,,http://rdaregistry.info/termList/medPerform/1035,Deprecated,,
Mixed voices (Deprecated),,,http://rdaregistry.info/termList/medPerform/1036,Deprecated,,
Men's voices (Deprecated),,,http://rdaregistry.info/termList/medPerform/1037,Deprecated,,
Women's voices (Deprecated),,,http://rdaregistry.info/termList/medPerform/1038,Deprecated,,
Unison voices (Deprecated),,,http://rdaregistry.info/termList/medPerform/1039,Deprecated,,
Accompanied (Deprecated),,,http://rdaregistry.info/termList/medPerform/1040,Deprecated,,
Unaccompanied (Deprecated),,,http://rdaregistry.info/termList/medPerform/1041,Deprecated,,
Band (Deprecated),,,http://rdaregistry.info/termList/medPerform/1042,Deprecated,,
String trio (Deprecated),,,http://rdaregistry.info/termList/medPerform/1043,Deprecated,,
String quartet (Deprecated),,,http://rdaregistry.info/termList/medPerform/1044,Deprecated,,
Woodwind quintet (Deprecated),,,http://rdaregistry.info/termList/medPerform/1045,Deprecated,,
Woodwind quartet (Deprecated),,,http://rdaregistry.info/termList/medPerform/1046,Deprecated,,
Piano trio (Deprecated),,,http://rdaregistry.info/termList/medPerform/1048,Deprecated,,
Piano quartet (Deprecated),,,http://rdaregistry.info/termList/medPerform/1049,Deprecated,,
Piano quintet (Deprecated),,,http://rdaregistry.info/termList/medPerform/1050,Deprecated,,
