*preferred label[0]_en,alternative label[0]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,scope note[0]_en,*uri,*status,related to[0],related to[1],related to[2]
activity card,,1001,activity card,"A unit of extent that is a card printed with words, numerals, or pictures to be used by an individual or a group as a basis for performing a specific activity.","A unit of extent that is a card printed with words, numerals, or pictures to be used by an individual or a group as a basis for performing a specific activity.",This term applies to still images. The cards are usually issued in sets.,rdacarx:1001,Published,rdacarx:1039,,
atlas,,1002,atlas,A unit of extent that is a volume of maps or other cartographic content with or without descriptive text.,A unit of extent that is a volume of maps or other cartographic content with or without descriptive text.,This term applies to cartographic resources.,rdacarx:1002,Published,,,
case,,1003,case,A unit of extent that consists of a box containing bound or unbound resources.,A unit of extent that consists of a box containing bound or unbound resources.,,rdacarx:1003,Published,,,
chart,,1004,chart,A unit of extent that consists of a two-dimensional representation of data in graphic or tabular form.,A unit of extent that consists of a two-dimensional representation of data in graphic or tabular form.,This term applies to still images.,rdacarx:1004,Published,,,
coin,,1005,coin,A unit of extent that consists of a piece of metal stamped by government authority for use as money.,A unit of extent that consists of a piece of metal stamped by government authority for use as money.,This term applies to three-dimensional forms.,rdacarx:1005,Published,,,
collage,,1006,collage,"A unit of extent that consists of a work in two dimensions or very low relief that was made by affixing paper, fabrics, photographs, or other materials onto a flat surface.","A unit of extent that consists of a work in two dimensions or very low relief that was made by affixing paper, fabrics, photographs, or other materials onto a flat surface.",This term applies to still images.,rdacarx:1006,Published,,,
column,,1007,column,A unit of extent that consists of one of two or more vertical sections of text appearing on the same page or leaf.,A unit of extent that consists of one of two or more vertical sections of text appearing on the same page or leaf.,,rdacarx:1007,Published,,,
diagram,,1008,diagram,"A unit of extent that is a geographic representation of numeric data, or of the course or results of an action or process.","A unit of extent that is a geographic representation of numeric data, or of the course or results of an action or process.","This term applies to cartographic resources. The term is sometimes also applied to maps characterized by much simplified, or schematic, representation.",rdacarx:1008,Published,,,
diorama,,1009,diorama,"A unit of extent that consists of a three-dimensional representation of a scene created by placing objects, figures, etc., in front of a two-dimensional painted background.","A unit of extent that consists of a three-dimensional representation of a scene created by placing objects, figures, etc., in front of a two-dimensional painted background.",This term applies to three-dimensional forms.,rdacarx:1009,Published,,,
drawing,,1010,drawing,"A unit of extent that consists of a visual work produced by drawing, which is the application of lines on a surface, often paper, by using a pencil, pen, chalk, or some other tracing instrument to focus on the delineation of form rather than the application of colour.","A unit of extent that consists of a visual work produced by drawing, which is the application of lines on a surface, often paper, by using a pencil, pen, chalk, or some other tracing instrument to focus on the delineation of form rather than the application of colour.",This term applies to still images. This term is often defined broadly to refer to computer-generated images as well.,rdacarx:1010,Published,,,
exhibit,,1011,exhibit,"A unit of extent that consists of objects on display, along with the display environment of cases, labels, etc.","A unit of extent that consists of objects on display, along with the display environment of cases, labels, etc.",This term applies to three-dimensional forms.,rdacarx:1011,Published,,,
