*preferred label[0]_en,alternative label[0]_en,alternative label[1]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,scope note[0]_en,*uri,*status,has broader[0],has narrower[0],related to[0]
aperture card,,,1021,aperture card,A carrier type that consists of a card with one or more rectangular openings or apertures holding frames of microfilm.,A carrier type that consists of a card with one or more rectangular openings or apertures holding frames of microfilm.,,rdact:1021,Published,,,
audio belt,,,1070,audio belt,"A carrier type that consists of a loop of flexible plastic or magnetic film on which audio signals are mechanically recorded, commonly known under the trade name Dictabelt.","A carrier type that consists of a loop of flexible plastic or magnetic film on which audio signals are mechanically recorded, commonly known under the trade name Dictabelt.",,rdact:1070,Published,,,
audio cartridge,,,1002,audio cartridge,A carrier type that consists of a cartridge containing an audio tape.,A carrier type that consists of a cartridge containing an audio tape.,,rdact:1002,Published,,,
audio cylinder,,,1003,audio cylinder,A carrier type that consists of a roller-shaped object on which sound waves are incised or indented in a continuous circular groove.,A carrier type that consists of a roller-shaped object on which sound waves are incised or indented in a continuous circular groove.,"Wax cylinders, wire cylinders, etc., are included.",rdact:1003,Published,,,
audio disc,sound disc,,1004,audio disc,"A carrier type that consists of a disc on which sound waves, recorded as modulations, pulses, etc., are incised or indented in a continuous spiral groove.","A carrier type that consists of a disc on which sound waves, recorded as modulations, pulses, etc., are incised or indented in a continuous spiral groove.",,rdact:1004,Published,,,
audio roll,piano roll,,1006,audio roll,"A carrier type that consists of a roll of paper on which musical notes are represented by perforations, designed to mechanically reproduce the music when used in a player piano, player organ, etc.","A carrier type that consists of a roll of paper on which musical notes are represented by perforations, designed to mechanically reproduce the music when used in a player piano, player organ, etc.",,rdact:1006,Published,,,
audio wire reel,,,1071,audio wire reel,A carrier type that consists of a reel or spool of steel or stainless steel wire upon which audio signals are magnetically recorded.,A carrier type that consists of a reel or spool of steel or stainless steel wire upon which audio signals are magnetically recorded.,,rdact:1071,Published,,,
audiocassette,,,1007,audiocassette,A carrier type that consists of a cassette containing an audiotape.,A carrier type that consists of a cassette containing an audiotape.,,rdact:1007,Published,,,
audiotape reel,,,1008,audiotape reel,A carrier type that consists of an open reel holding a length of audiotape to be used with reel-to-reel audio equipment.,A carrier type that consists of an open reel holding a length of audiotape to be used with reel-to-reel audio equipment.,,rdact:1008,Published,,,
card,,,1045,card,A carrier type that consists of a small sheet of opaque material.,A carrier type that consists of a small sheet of opaque material.,,rdact:1045,Published,,,
computer card,,,1011,computer card,A carrier type that consists of a card containing digitally encoded data designed for use with a computer.,A carrier type that consists of a card containing digitally encoded data designed for use with a computer.,,rdact:1011,Published,,,
computer chip cartridge,,,1012,computer chip cartridge,"A carrier type that consists of a cartridge containing a miniaturized electronic circuit on a small wafer of semiconductor silicon, designed to provide additional processing, memory, or storage capacity.","A carrier type that consists of a cartridge containing a miniaturized electronic circuit on a small wafer of semiconductor silicon, designed to provide additional processing, memory, or storage capacity.",,rdact:1012,Published,,,
computer disc,,,1013,computer disc,A carrier type that consists of a disc containing digitally encoded data that are magnetically or optically recorded.,A carrier type that consists of a disc containing digitally encoded data that are magnetically or optically recorded.,,rdact:1013,Published,,,
computer disc cartridge,,,1014,computer disc cartridge,A carrier type that consists of a cartridge containing one or more computer discs.,A carrier type that consists of a cartridge containing one or more computer discs.,,rdact:1014,Published,,,
computer tape cartridge,,,1015,computer tape cartridge,A carrier type that consists of a cartridge containing a computer tape.,A carrier type that consists of a cartridge containing a computer tape.,,rdact:1015,Published,,,
computer tape cassette,,,1016,computer tape cassette,A carrier type that consists of a cassette containing a computer tape.,A carrier type that consists of a cassette containing a computer tape.,,rdact:1016,Published,,,
computer tape reel,,,1017,computer tape reel,A carrier type that consists of an open reel holding a length of computer tape to be used with a computer tape drive.,A carrier type that consists of an open reel holding a length of computer tape to be used with a computer tape drive.,,rdact:1017,Published,,,
film cartridge,,,1032,film cartridge,A carrier type that consists of a cartridge containing a motion picture film.,A carrier type that consists of a cartridge containing a motion picture film.,,rdact:1032,Published,,,
film cassette,,,1033,film cassette,A carrier type that consists of a cassette containing a motion picture film.,A carrier type that consists of a cassette containing a motion picture film.,,rdact:1033,Published,,,
film reel,,,1034,film reel,A carrier type that consists of an open reel holding a motion picture film to be used with a motion picture film projector.,A carrier type that consists of an open reel holding a motion picture film to be used with a motion picture film projector.,,rdact:1034,Published,,,
film roll,,,1069,film roll,A carrier type that consists of a wound length of film.,A carrier type that consists of a wound length of film.,,rdact:1069,Published,,,
filmslip,,,1035,filmslip,"A carrier type that consists of a short strip of film, usually in rigid format rather than rolled.","A carrier type that consists of a short strip of film, usually in rigid format rather than rolled.",,rdact:1035,Published,,,
filmstrip,,,1036,filmstrip,"A carrier type that consists of a roll of film, with or without recorded sound, containing a succession of images intended for projection one at a time.","A carrier type that consists of a roll of film, with or without recorded sound, containing a succession of images intended for projection one at a time.",,rdact:1036,Published,,,
filmstrip cartridge,,,1037,filmstrip cartridge,A carrier type that consists of a cartridge containing a filmstrip.,A carrier type that consists of a cartridge containing a filmstrip.,,rdact:1037,Published,,,
flipchart,,,1046,flipchart,A carrier type that consists of a hinging device holding two or more sheets designed for use on an easel.,A carrier type that consists of a hinging device holding two or more sheets designed for use on an easel.,,rdact:1046,Published,,,
microfiche,,,1022,microfiche,A carrier type that consists of a sheet of film bearing a number of micro-images in a two-dimensional array.,A carrier type that consists of a sheet of film bearing a number of micro-images in a two-dimensional array.,,rdact:1022,Published,,,
microfiche cassette,,,1023,microfiche cassette,A carrier type that consists of a cassette containing uncut microfiches.,A carrier type that consists of a cassette containing uncut microfiches.,,rdact:1023,Published,,,
microfilm cartridge,,,1024,microfilm cartridge,A carrier type that consists of a cartridge containing a microfilm.,A carrier type that consists of a cartridge containing a microfilm.,,rdact:1024,Published,,,
microfilm cassette,,,1025,microfilm cassette,A carrier type that consists of a cassette containing a microfilm.,A carrier type that consists of a cassette containing a microfilm.,,rdact:1025,Published,,,
