*preferred label[0]_en,alternative label[0]_en,alternative label[1]_en,alternative label[2]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,scope note[0]_en,*uri,*status,related to[0]
choir book,,,,1001,choir book,A format of notated music that consists of a large music book made to be placed on a stand in front of a choir.,A format of notated music that consists of a large music book made to be placed on a stand in front of a choir.,"Each part is notated separately, usually in the configuration that presents, when the book is open, the soprano and tenor parts on the verso of a leaf, and the alto and bass parts on the recto of the next leaf.",rdafnm:1001,Published,
chorus score,,,,1002,chorus score,"A format of notated music that consists of a score of a work for solo voices and chorus showing only the parts for chorus, at least in those portions of the work in which the chorus sings, with the instrumental accompaniment either omitted or arranged for a keyboard or other chordal instrument or instruments.","A format of notated music that consists of a score of a work for solo voices and chorus showing only the parts for chorus, at least in those portions of the work in which the chorus sings, with the instrumental accompaniment either omitted or arranged for a keyboard or other chordal instrument or instruments.",,rdafnm:1002,Published,rdafnm:1011
condensed score,reduced score,short score,close score,1003,condensed score,"A format of notated music that consists of a score in which the number of staves is reduced to two or a few, generally organized by instrumental sections or vocal parts, and often with cues for individual parts.","A format of notated music that consists of a score in which the number of staves is reduced to two or a few, generally organized by instrumental sections or vocal parts, and often with cues for individual parts.",,rdafnm:1003,Published,
part,,,,1004,part,"A format of notated music that consists of the music for the use of one or more, but not all, performers.","A format of notated music that consists of the music for the use of one or more, but not all, performers.",,rdafnm:1004,Published,
piano conductor part,,,,1005,piano conductor part,"A format of notated music that consists of a performance part for a piano performer in an ensemble, with cues for the other instruments that enable the performer of that part also to conduct.","A format of notated music that consists of a performance part for a piano performer in an ensemble, with cues for the other instruments that enable the performer of that part also to conduct.",,rdafnm:1005,Published,
piano score,,,,1006,piano score,A format of notated music that consists of a reduction of an instrumental work or a vocal work with instruments to a version for piano.,A format of notated music that consists of a reduction of an instrumental work or a vocal work with instruments to a version for piano.,,rdafnm:1006,Published,
score,full score,,,1007,score,"A format of notated music that consists of graphical, symbolic, or word-based musical notation representing the sounds of all the parts of an ensemble or a work for solo performer or electronic media.","A format of notated music that consists of graphical, symbolic, or word-based musical notation representing the sounds of all the parts of an ensemble or a work for solo performer or electronic media.",,rdafnm:1007,Published,
study score,miniature score,,,1008,study score,"A format of notated music that consists of a score issued in a musical image of reduced size, not primarily intended for use in performance.","A format of notated music that consists of a score issued in a musical image of reduced size, not primarily intended for use in performance.",,rdafnm:1008,Published,
table book,,,,1009,table book,A format of notated music that consists of a music book made to be placed on a table and displayed in such a way that the performers can read their parts while seated or standing across or around the table.,A format of notated music that consists of a music book made to be placed on a table and displayed in such a way that the performers can read their parts while seated or standing across or around the table.,"Each part is notated separately, usually in a configuration that presents, when the book is open, different parts in inverted and/or perpendicular positions.",rdafnm:1009,Published,
violin conductor part,,,,1010,violin conductor part,"A format of notated music that consists of a performance part for a violin performer in an ensemble, with cues for the other instruments that enable the performer of that part also to conduct.","A format of notated music that consists of a performance part for a violin performer in an ensemble, with cues for the other instruments that enable the performer of that part also to conduct.",,rdafnm:1010,Published,
vocal score,,,,1011,vocal score,"A format of notated music that consists of a score showing all vocal parts, with the instrumental accompaniment either omitted or arranged for a keyboard or other chordal instrument or instruments.","A format of notated music that consists of a score showing all vocal parts, with the instrumental accompaniment either omitted or arranged for a keyboard or other chordal instrument or instruments.",,rdafnm:1011,Published,rdafnm:1002
keyboard reduction score,,,,1012,keyboard reduction score,"A format of notated music that consists of a score showing all solo instrument parts, with the instrumental accompaniment reduced for keyboard or other chordal instrument.","A format of notated music that consists of a score showing all solo instrument parts, with the instrumental accompaniment reduced for keyboard or other chordal instrument.",,rdafnm:1012,Published,
