*preferred label[0]_en,alternative label[0]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,scope note[0]_en,*uri,*status
daily,,1001,daily,"A frequency for a diachronic work that is issued or updated once every day, usually exclusive of nonworking days.","A frequency for a diachronic work that is issued or updated once every day, usually exclusive of nonworking days.",,rdafr:1001,Published
three times a week,,1002,three times a week,A frequency for a diachronic work that is issued or updated three times every week.,A frequency for a diachronic work that is issued or updated three times every week.,,rdafr:1002,Published
biweekly,fortnightly,1003,biweekly,A frequency for a diachronic work that is issued or updated once every two weeks.,A frequency for a diachronic work that is issued or updated once every two weeks.,,rdafr:1003,Published
weekly,,1004,weekly,A frequency for a diachronic work that is issued or updated once every week.,A frequency for a diachronic work that is issued or updated once every week.,,rdafr:1004,Published
semiweekly,,1005,semiweekly,A frequency for a diachronic work that is issued or updated twice every week.,A frequency for a diachronic work that is issued or updated twice every week.,,rdafr:1005,Published
three times a month,,1006,three times a month,A frequency for a diachronic work that is issued or updated three times every month.,A frequency for a diachronic work that is issued or updated three times every month.,,rdafr:1006,Published
bimonthly,,1007,bimonthly,A frequency for a diachronic work that is issued or updated once every two months.,A frequency for a diachronic work that is issued or updated once every two months.,,rdafr:1007,Published
monthly,,1008,monthly,A frequency for a diachronic work that is issued or updated once every month.,A frequency for a diachronic work that is issued or updated once every month.,,rdafr:1008,Published
semimonthly,,1009,semimonthly,A frequency for a diachronic work that is issued or updated twice every month.,A frequency for a diachronic work that is issued or updated twice every month.,,rdafr:1009,Published
quarterly,,1010,quarterly,A frequency for a diachronic work that is issued or updated once every three months.,A frequency for a diachronic work that is issued or updated once every three months.,,rdafr:1010,Published
three times a year,,1011,three times a year,A frequency for a diachronic work that is issued or updated three times every year.,A frequency for a diachronic work that is issued or updated three times every year.,,rdafr:1011,Published
semiannual,,1012,semiannual,A frequency for a diachronic work that is issued or updated twice every year.,A frequency for a diachronic work that is issued or updated twice every year.,,rdafr:1012,Published
annual,,1013,annual,A frequency for a diachronic work that is issued or updated once every year.,A frequency for a diachronic work that is issued or updated once every year.,,rdafr:1013,Published
biennial,,1014,biennial,A frequency for a diachronic work that is issued or updated once every two years.,A frequency for a diachronic work that is issued or updated once every two years.,,rdafr:1014,Published
triennial,,1015,triennial,A frequency for a diachronic work that is issued or updated once every three years.,A frequency for a diachronic work that is issued or updated once every three years.,,rdafr:1015,Published
irregular,,1016,irregular,A frequency for a diachronic work that is issued or updated with no consistent interval between issues or updates.,A frequency for a diachronic work that is issued or updated with no consistent interval between issues or updates.,,rdafr:1016,Published
