*preferred label[0]_en,alternative label[0]_en,alternative label[1]_en,alternative label[2]_en,alternative label[3]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,scope note[0]_en,*uri,*status
board book binding,,,,,1008,board book binding,A type of binding for sheets of thick paperboard with covers that are folded and bound to form a spine.,A type of binding for sheets of thick paperboard with covers that are folded and bound to form a spine.,The binding is durable and often used for manifestations for children. Outer covers are of the same thickness of paperboard as the sheets.,rdatb:1008,Published
case binding,hardback binding,library binding,hardcover binding,,1002,case binding,A type of binding that sews or glues sheets into sections that are glued together to form a flat spine and that are attached to endpapers which are in turn attached to a stiff outer casing.,A type of binding that sews or glues sheets into sections that are glued together to form a flat spine and that are attached to endpapers which are in turn attached to a stiff outer casing.,"Sheets may be folded to form gatherings. The outer casing of the volume is usually made of board, wood, plastic, or some other rigid material.",rdatb:1002,Published
closed ring binding,,,,,1004,closed ring binding,A type of binding that uses two or more rings of metal or plastic that are threaded through holes along the edge of each sheet.,A type of binding that uses two or more rings of metal or plastic that are threaded through holes along the edge of each sheet.,"The rings are widely spaced and require a spine to maintain the spacing. Outer covers may be attached directly to the spine, or threaded by the rings.",rdatb:1004,Published
comb binding,wire binding,,,,1010,comb binding,A type of binding that uses multiple closely-spaced curved flaps of metal or plastic that are threaded through holes along the edge of each sheet.,A type of binding that uses multiple closely-spaced curved flaps of metal or plastic that are threaded through holes along the edge of each sheet.,The binding flaps usually form a curved spine. Outer covers are generally threaded by the flaps.,rdatb:1010,Published
open ring binding,lever arch binding,,,,1005,open ring binding,"A type of binding that uses two or more rings of metal or plastic that are threaded through holes along the edge of each sheet, and that can be opened to allow the removal or insertion of any sheet.","A type of binding that uses two or more rings of metal or plastic that are threaded through holes along the edge of each sheet, and that can be opened to allow the removal or insertion of any sheet.",The rings are widely spaced and require a spine to maintain the spacing. Outer covers may be attached directly to the spine or threaded by the rings.,rdatb:1005,Published
perfect binding,paperback binding,softcover binding,thermal binding,paperbound,1001,perfect binding,A type of binding that glues sheets together and to a flexible outer casing to form a spine.,A type of binding that glues sheets together and to a flexible outer casing to form a spine.,"Sheets may be folded to form gatherings. The outer casing of the volume is usually made of thin card, plastic, or some other flexible material.",rdatb:1001,Published
saddle stitch binding,,,,,1007,saddle stitch binding,A type of binding that folds sheets and staples them along the fold to form a spine.,A type of binding that folds sheets and staples them along the fold to form a spine.,"The staples may be made of metal, plastic, or textile. Outer covers made of a flexible material are also folded and stapled to the sheets.",rdatb:1007,Published
slide binding,,,,,1009,slide binding,A type of binding that uses a single length of metal or plastic bent into a C cross-section which slides over the edge of each sheet to hold it in place.,A type of binding that uses a single length of metal or plastic bent into a C cross-section which slides over the edge of each sheet to hold it in place.,Outer covers of the volume may be made of a thin flexible material that can be inserted as a sheet into the binding strip.,rdatb:1009,Published
spiral binding,coil binding,,,,1003,spiral binding,A type of binding that uses a continuous wire or plastic coil that is threaded through holes along the edge of each sheet.,A type of binding that uses a continuous wire or plastic coil that is threaded through holes along the edge of each sheet.,"Outer covers of the volume may be made of a rigid or flexible material, and may be attached directly to the coil or threaded by the coil",rdatb:1003,Published
springback binding,,,,,1006,springback binding,"A type of binding that clamps the edge of each sheet in a metal spring that is directly attached to a spine and outer covers, and that can be opened to allow the removal or insertion of any sheet.","A type of binding that clamps the edge of each sheet in a metal spring that is directly attached to a spine and outer covers, and that can be opened to allow the removal or insertion of any sheet.",,rdatb:1006,Published
