*preferred label[0]_en,alternative label[0]_en,alternative label[1]_en,alternative label[2]_en,alternative label[3]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,scope note[0]_en,*uri,*status,has broader[0],has narrower[0],has narrower[1],has narrower[2],related to[0],related to[1],related to[2],related to[3],related to[4],related to[5]
access point,,,,,1001,access point,An appellation of an entity in natural language that is selected from a vocabulary encoding scheme or constructed using a string encoding scheme by an agent who creates metadata.,An appellation of an entity in natural language that is selected from a vocabulary encoding scheme or constructed using a string encoding scheme by an agent who creates metadata.,,rdaterm:1001,Published,rdaterm:1205,rdaterm:1012,rdaterm:1102,,,,,,,
accessible labels,,,,,1002,accessible labels,"An accessible tactile language text that is attached to a tactile image, map, or diagram.","An accessible tactile language text that is attached to a tactile image, map, or diagram.",,rdaterm:1002,Published,,,,,,,,,,
adaptation,,,,,1003,adaptation,A new derivative work created by revision of a previously existing work that substantially changes the nature and content of that work.,A new derivative work created by revision of a previously existing work that substantially changes the nature and content of that work.,"In the case of a musical work, a derivative work described as freely transcribed, based on, etc.; a revision incorporating new material; a paraphrase of various works by, or in the general style of, another composer; revisions in which the harmony or musical style of the original has been changed; performances involving substantial creative responsibility for adaptation, improvisation, etc., on the part of the performer or performers; or any other distinct alteration of another musical work, are included.",rdaterm:1003,Published,,,,,rdaterm:1008,,,,,
added title page (Deprecated),,,,,1004,added title page (Deprecated),A title page preceding or following the title page chosen as the preferred source of information. (Deprecated),A title page preceding or following the title page chosen as the preferred source of information. (Deprecated),An added title page may be more general or equally general. A series title page is an example of a more general title page; a title page is another language is an example of an equally general title page. (Deprecated),rdaterm:1004,Deprecated,,,,,rdaterm:1095,rdaterm:1082,,,,
alternative title,,,,,1005,alternative title,"A second or subsequent independent title of manifestation that is joined to a preceding title by a conjunction such as ""or"" or its equivalent in another language.","A second or subsequent independent title of manifestation that is joined to a preceding title by a conjunction such as ""or"" or its equivalent in another language.",,rdaterm:1005,Published,,,,,,,,,,
analytical description (Deprecated),,,,,1006,analytical description (Deprecated),A description that describes a part of a larger manifestation. (Deprecated),A description that describes a part of a larger manifestation. (Deprecated),"Analytical description includes a description for a single volume of a three-volume biography, a single map forming part of a map series, etc. (Deprecated)",rdaterm:1006,Deprecated,,,,,,,,,,
archival resource,,,,,1007,archival resource,"A document or documents organically created, accumulated, or used by an agent in the course of the conduct of affairs and preserved because of their continuing value.","A document or documents organically created, accumulated, or used by an agent in the course of the conduct of affairs and preserved because of their continuing value.","The resource may be an aggregation of documents or it may be a discrete item. It may also be a collection acquired and assembled by an archival repository, individual, or other institution that does not share a common provenance or origin but that reflects some common characteristic, for example, a particular subject, theme, or form.",rdaterm:1007,Published,,,,,,,,,,
arrangement,,,,,1008,arrangement,"An expression of a musical work resulting either from a change in the medium of performance, or from a simplification or other modification of the work with or without a change in medium of performance.","An expression of a musical work resulting either from a change in the medium of performance, or from a simplification or other modification of the work with or without a change in medium of performance.",,rdaterm:1008,Published,,,,,rdaterm:1003,,,,,
audio description,audio captioning,,,,1009,audio description,"A narrative text, read out loud by a human being or by voice synthesis, that succinctly explains visual details not apparent from the audio element of the expression.","A narrative text, read out loud by a human being or by voice synthesis, that succinctly explains visual details not apparent from the audio element of the expression.",,rdaterm:1009,Published,,,,,,,,,,
audio recording,,,,,1010,audio recording,A recording on which sound vibrations have been registered by mechanical or electrical means so that the sound may be reproduced.,A recording on which sound vibrations have been registered by mechanical or electrical means so that the sound may be reproduced.,,rdaterm:1010,Published,,,,,,,,,,
audiotape,,,,,1011,audiotape,A length of magnetic tape on which are recorded electrical signals that can be converted to sound using audio playback equipment.,A length of magnetic tape on which are recorded electrical signals that can be converted to sound using audio playback equipment.,,rdaterm:1011,Published,,,,,,,,,,
authorized access point,,,,,1012,authorized access point,An access point that is selected for preference in a specific application or context.,An access point that is selected for preference in a specific application or context.,,rdaterm:1012,Published,rdaterm:1001,,,,,,,,,
binding,,,,,1013,binding,An outer cover affixed to a gathering of one or more sheets.,An outer cover affixed to a gathering of one or more sheets.,,rdaterm:1013,Published,,,,,,,,,,
caption title,,,,,1014,caption title,"A title given at the beginning of the first page of the text or, for notated music, at the top of the first page.","A title given at the beginning of the first page of the text or, for notated music, at the top of the first page.",,rdaterm:1014,Published,,,,,,,,,,
captioning,,,,,1015,captioning,A text representing speech and other audible information that is displayed on screen in the written language of the audio element of the expression.,A text representing speech and other audible information that is displayed on screen in the written language of the audio element of the expression.,"This is usually found as closed captions that are encoded and must be decoded, that is, switched on, to be made visible. There are also open captions which are always visible and cannot be turned off. Excludes subtitles in a language different from the spoken content.",rdaterm:1015,Published,,,,,,,,,,
carrier,,,,,1016,carrier,"A physical medium in which data, sound, images, and other kinds of content are stored.","A physical medium in which data, sound, images, and other kinds of content are stored.","For certain types of manifestation units, the carrier may consist of a storage medium that is encased in a plastic, metal, or other housing that is integral to the unit.",rdaterm:1016,Published,,,,,rdaterm:1026,,,,,
cartographic content,,,,,1017,cartographic content,"A content that represents the whole or part of the earth, any celestial body, or imaginary place at any scale.","A content that represents the whole or part of the earth, any celestial body, or imaginary place at any scale.",,rdaterm:1017,Published,,,,,,,,,,
citation title of a legal work,,,,,1018,citation title of a legal work,A title of a legal work used for the citation of the work either in the text of the work or in legal literature.,A title of a legal work used for the citation of the work either in the text of the work or in legal literature.,,rdaterm:1018,Published,,,,,,,,,,
collection,,,,,1019,collection,A group of resources assembled by an agent from a variety of sources.,A group of resources assembled by an agent from a variety of sources.,,rdaterm:1019,Published,,,,,,,,,,
collective title,,,,,1020,collective title,A title of manifestation of an aggregate.,A title of manifestation of an aggregate.,A collective title is usually different from the titles of the expressions and works that are embodied by an aggregate.,rdaterm:1020,Published,,rdaterm:1027,,,,,,,,
component part (Deprecated),,,,,1021,component part (Deprecated),A discrete unit of intellectual content within a larger resource. (Deprecated),A discrete unit of intellectual content within a larger resource. (Deprecated),,rdaterm:1021,Deprecated,,,,,,,,,,
composite description (Deprecated),,,,,1022,composite description (Deprecated),A description that combines one or more elements identifying a work and/or expression embodied in a manifestation with a description of the manifestation. (Deprecated),A description that combines one or more elements identifying a work and/or expression embodied in a manifestation with a description of the manifestation. (Deprecated),,rdaterm:1022,Deprecated,,,,,,,,,,
compound surname,,,,,1023,compound surname,"A surname that consists of two or more proper names, sometimes connected by a hyphen, a conjunction, or a preposition.","A surname that consists of two or more proper names, sometimes connected by a hyphen, a conjunction, or a preposition.",,rdaterm:1023,Published,,,,,,,,,,
comprehensive description (Deprecated),,,,,1024,comprehensive description (Deprecated),A description that describes the manifestation as a whole. (Deprecated),A description that describes the manifestation as a whole. (Deprecated),"A description for a map, a periodical, a collection of posters assembled by a library, or a kit consisting of a filmstrip, an audiotape, and a teacher’s manual, are included. (Deprecated)",rdaterm:1024,Deprecated,,,,,,,,,,
conference,,,,,1025,conference,A formally named and convened meeting of persons who represent themselves or collective agents for the purpose of discussing or acting on topics of common interest or a meeting of a legislative or governing body.,A formally named and convened meeting of persons who represent themselves or collective agents for the purpose of discussing or acting on topics of common interest or a meeting of a legislative or governing body.,,rdaterm:1025,Published,,,,,,,,,,
container,,,,,1026,container,A housing that is physically separable from the carrier being housed.,A housing that is physically separable from the carrier being housed.,"A container includes a box for a disc or videocassette, a sleeve for a videodisc, etc.; an insert visible through the housing is part of the container.",rdaterm:1026,Published,,rdaterm:1054,,,rdaterm:1016,rdaterm:1058,,,,
conventional collective title,,,,,1027,conventional collective title,"A collective title that is assigned as a preferred title of work for a compilation containing two or more works by one agent, or two or more parts of a work.","A collective title that is assigned as a preferred title of work for a compilation containing two or more works by one agent, or two or more parts of a work.",,rdaterm:1027,Published,,,,,,,,,,
conventional name,,,,,1028,conventional name,"A name, other than the real or official name, by which a corporate body has come to be known.","A name, other than the real or official name, by which a corporate body has come to be known.",,rdaterm:1028,Published,,,,,,,,,,
core (Deprecated),,,,,1029,core (Deprecated),"An indication that an RDA element, element sub-type, or sub-element is required to support specified user tasks according to the FRBR assessment of the value of each attribute and relationship. (Deprecated)","An indication that an RDA element, element sub-type, or sub-element is required to support specified user tasks according to the FRBR assessment of the value of each attribute and relationship. (Deprecated)",,rdaterm:1029,Deprecated,,,,,,,,,,
cover (Deprecated),,,,,1030,cover (Deprecated),"An outer protective material attached to a volume, consisting of both sides of the front and back panels and the spine to which they are joined. (Deprecated)","An outer protective material attached to a volume, consisting of both sides of the front and back panels and the spine to which they are joined. (Deprecated)",,rdaterm:1030,Deprecated,,,,,,,,,,
dataset (Deprecated),,,,,1031,dataset (Deprecated),A collection of factual information presented in a structured form. (Deprecated),A collection of factual information presented in a structured form. (Deprecated),,rdaterm:1031,Deprecated,,,,,,,,,,
date of a treaty,,,,,1032,date of a treaty,"The earliest date a treaty or a protocol to a treaty is adopted by an international intergovernmental body or an international conference, is opened for signing, formally signed, ratified, proclaimed, etc.","The earliest date a treaty or a protocol to a treaty is adopted by an international intergovernmental body or an international conference, is opened for signing, formally signed, ratified, proclaimed, etc.",,rdaterm:1032,Published,,,,,,,,,,
"date of promulgation of a law, etc.",,,,,1033,"date of promulgation of a law, etc.","A year a law, etc., is promulgated or brought into force.","A year a law, etc., is promulgated or brought into force.",,rdaterm:1033,Published,,,,,,,,,,
designation,,,,,1034,designation,A word or phrase that describes an aspect of an RDA entity.,A word or phrase that describes an aspect of an RDA entity.,,rdaterm:1034,Published,,,,,,,,,,
description,,,,,1035,description,A set of data that records and identifies one or more RDA entities.,A set of data that records and identifies one or more RDA entities.,,rdaterm:1035,Published,,rdaterm:1207,rdaterm:1208,,rdaterm:1146,,,,,
devised title,,,,,1036,devised title,"A title proper created by an agent who creates the metadata for a manifestation that bears no title itself and has no title associated with it that can be found in accompanying material, a published description of the manifestation, a reference source, etc.","A title proper created by an agent who creates the metadata for a manifestation that bears no title itself and has no title associated with it that can be found in accompanying material, a published description of the manifestation, a reference source, etc.",,rdaterm:1036,Published,,,,,,,,,,
digital resource (Deprecated),,,,,1037,digital resource (Deprecated),"A resource, consisting of data and/or one or more programs, encoded for manipulation by a computerized device. (Deprecated)","A resource, consisting of data and/or one or more programs, encoded for manipulation by a computerized device. (Deprecated)","The resource may require the use of a peripheral device directly connected to a computerized device, an application program, and/or a connection to a computer network. (Deprecated)",rdaterm:1037,Deprecated,,,,,,,,,,
distinctive title,,,,,1038,distinctive title,"A title of a musical work that is not just a form or musical genre, a tempo indication, a number of performers, or a type of liturgical text.","A title of a musical work that is not just a form or musical genre, a tempo indication, a number of performers, or a type of liturgical text.",,rdaterm:1038,Published,,,,,,,,,,
double leaf,,,,,1039,double leaf,"A leaf of double size relative to the rest of a manifestation or item, folded in half at the fore-edge or top edge, with the fold uncut and no printing inside the fold, and typically bound at the inner margin.","A leaf of double size relative to the rest of a manifestation or item, folded in half at the fore-edge or top edge, with the fold uncut and no printing inside the fold, and typically bound at the inner margin.",,rdaterm:1039,Published,,,,,,,,,,
early printed resource,,,,,1040,early printed resource,"A manifestation manufactured using a hand-press method, before the advent of machine printing in the nineteenth century.","A manifestation manufactured using a hand-press method, before the advent of machine printing in the nineteenth century.",,rdaterm:1040,Published,,,,,,,,,,
element,,,,,1041,element,"A specific aspect, characteristic, attribute, or relationship used to describe an RDA entity.","A specific aspect, characteristic, attribute, or relationship used to describe an RDA entity.",,rdaterm:1041,Published,,,,,rdaterm:1109,rdaterm:1110,rdaterm:1112,rdaterm:1113,rdaterm:1116,rdaterm:1186
explanatory reference,,,,,1042,explanatory reference,An elaborated see reference or see also reference that explains the circumstances under which the authorized access points involved should be consulted.,An elaborated see reference or see also reference that explains the circumstances under which the authorized access points involved should be consulted.,,rdaterm:1042,Published,,,,,,,,,,
finding aid,,,,,1043,finding aid,A descriptive tool providing access to a resource.,A descriptive tool providing access to a resource.,,rdaterm:1043,Published,,,,,,,,,,
formally presented,,,,,1044,formally presented,A value of an element that appears in isolation and in a prominent location.,A value of an element that appears in isolation and in a prominent location.,Excludes a value that is embedded in other content.,rdaterm:1044,Published,,,,,,,,,,
gathering,,,,,1045,gathering,One or more pairs of leaves that form a distinctive unit for binding purposes.,One or more pairs of leaves that form a distinctive unit for binding purposes.,"A gathering may consist of a folded sheet, a fraction of a folded sheet, or several folded sheets tucked inside one another.",rdaterm:1045,Published,,,,,,,,,,
government,,,,,1046,government,"A totality of executive, legislative, and judicial corporate bodies exercising power over a jurisdiction.","A totality of executive, legislative, and judicial corporate bodies exercising power over a jurisdiction.",,rdaterm:1046,Published,,,,,,,,,,
harmony,,,,,1047,harmony,"An arrangement of passages of the Bible on the same topic in parallel columns so that similarities and differences may be compared readily, or an interweaving of such passages into a continuous text.","An arrangement of passages of the Bible on the same topic in parallel columns so that similarities and differences may be compared readily, or an interweaving of such passages into a continuous text.",,rdaterm:1047,Published,,,,,,,,,,
hierarchical description (Deprecated),,,,,1048,hierarchical description (Deprecated),A description that combines a comprehensive description of the whole manifestation with analytical descriptions of one or more of its parts. (Deprecated),A description that combines a comprehensive description of the whole manifestation with analytical descriptions of one or more of its parts. (Deprecated),,rdaterm:1048,Deprecated,,,,,,,,,,
