reg_id,uri,type,name (en),label (en),lexicalAlias (en),description (en),note (en),domain,range,hasUnconstrained,parent_property,inverseOf,status
uri,reg:uri,rdf:type,reg:name,rdfs:label,reg:lexicalAlias,skos:definition,skos:scopeNote,rdfs:domain,rdfs:range,reg:hasUnconstrained,rdfs:subPropertyOf,owl:inverseOf,reg:status
lang,en,,en,en,en,en,en,,,,,,
type,uri,property,,,,,,property,property,property,property,property,property
meta,token,rdaw,,,,,,,,,,,
meta,label,RDA Work properties,,,,,,,,,,,
meta,schema_id,77,,,,,,,,,,,
meta,uri,http://rdaregistry.info/Elements/w/,,,,,,,,,,,
meta,note,Properties derived from RDA elements and relationship designators with the domain of RDA Work.,,,,,,,,,,,
meta,tags,,,,,,,,,,,,
meta,base_domain,http://rdaregistry.info/Elements/w/,,,,,,,,,,,
meta,type,schema,,,,,,,,,,,
meta,agent_id,177,,ALA Publishing,,,,,,,,,
meta,user_id,422,,JSC Chair,,,,,,,,,
prefix,rdac,http://rdaregistry.info/Elements/c/,,,,,,,,,,,
prefix,rdaa,http://rdaregistry.info/Elements/a/,,,,,,,,,,,
prefix,rdau,http://rdaregistry.info/Elements/u/,,,,,,,,,,,
prefix,rdaw,http://rdaregistry.info/Elements/w/,,,,,,,,,,,
prefix,rdai,http://rdaregistry.info/Elements/i/,,,,,,,,,,,
prefix,rdae,http://rdaregistry.info/Elements/e/,,,,,,,,,,,
prefix,rdam,http://rdaregistry.info/Elements/m/,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,
prefix,rdaz,http://rdaregistry.info/Elements/z/,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,
prefix,mrc,http://id.loc.gov/vocabulary/relators/,,,,,,,,,,,
prefix,rdakit,http://rdaregistry.info/Elements/toolkit/,,,,,,,,,,,
prefix,regstat,http://metadataregistry.org/uri/RegStatus/,,,,,,,,,,,
,rdaw:P10001,property,respondent,has respondent,rdaw:respondent,Relates a work to a candidate for a degree who defends or opposes a thesis provided by the praeses in an academic disputation.,,rdac:C10001,rdac:C10004,rdau:P60045,rdaw:P10065,rdaa:P50001,1
,rdaw:P10002,property,identifierForTheWork,has identifier for the work,rdaw:identifierForTheWork,"Relates a work to a character string uniquely associated with a work, or with a surrogate for a work (e.g., an authority record).",The identifier serves to differentiate that work from other works.,rdac:C10001,,rdau:P60052,,,1
