reg_id,uri,type,name (en),label (en),lexicalAlias (en),description (en),note (en),domain,range,hasUnconstrained,parent_property,inverseOf,status
uri,reg:uri,rdf:type,reg:name,rdfs:label,reg:lexicalAlias,skos:definition,skos:scopeNote,rdfs:domain,rdfs:range,reg:hasUnconstrained,rdfs:subPropertyOf,owl:inverseOf,reg:status
lang,en,,en,en,en,en,en,,,,,,
type,uri,property,,,,,,property,property,property,property,property,property
meta,token,rdaz,,,,,,,,,,,
meta,label,RDA meta element properties,,,,,,,,,,,
meta,schema_id,95,,,,,,,,,,,
meta,uri,http://rdaregistry.info/Elements/z/,,,,,,,,,,,
meta,note,Properties derived from RDA meta elements.,,,,,,,,,,,
meta,tags,,,,,,,,,,,,
meta,base_domain,http://rdaregistry.info/Elements/z/,,,,,,,,,,,
meta,type,schema,,,,,,,,,,,
meta,agent_id,177,,ALA Publishing,,,,,,,,,
meta,user_id,422,,JSC Chair,,,,,,,,,
prefix,rdac,http://rdaregistry.info/Elements/c/,,,,,,,,,,,
prefix,rdaa,http://rdaregistry.info/Elements/a/,,,,,,,,,,,
prefix,rdau,http://rdaregistry.info/Elements/u/,,,,,,,,,,,
prefix,rdaw,http://rdaregistry.info/Elements/w/,,,,,,,,,,,
prefix,rdai,http://rdaregistry.info/Elements/i/,,,,,,,,,,,
prefix,rdae,http://rdaregistry.info/Elements/e/,,,,,,,,,,,
prefix,rdam,http://rdaregistry.info/Elements/m/,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,
prefix,rdaz,http://rdaregistry.info/Elements/z/,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,
prefix,mrc,http://id.loc.gov/vocabulary/relators/,,,,,,,,,,,
prefix,rdakit,http://rdaregistry.info/Elements/toolkit/,,,,,,,,,,,
prefix,regstat,http://metadataregistry.org/uri/RegStatus/,,,,,,,,,,,
,rdaz:P60001,property,sourceConsulted,has source consulted,rdaz:sourceConsulted,"Relates data to a resource used in determining the name, title, or other identifying attributes of an entity, or in determining the relationship between entities.",,,,,,,1
,rdaz:P60002,property,cataloguersNote,has cataloguer’s note,rdaz:cataloguersNote,"Relates data to an annotation that clarifies the selection and recording of identifying attributes, relationship data, or access points for the entity.",,,,,,,1
,rdaz:P60003,property,statusOfIdentification,has status of identification,rdaz:statusOfIdentification,Relates data to an indication of the level of authentication of the data identifying an entity.,,,,,,,1
,rdaz:P60004,property,explanationOfRelationship,has explanation of relationship,rdaz:explanationOfRelationship,Relates data to information elaborating on or clarifying the relationship between related entities.,,,,,,,1
