*preferred label[0]_en,alternative label[0]_en,definition[0]_en,scope note[0]_en,*uri,*status
score (Deprecated),full score (Deprecated),"Graphical, symbolic, or word-based musical notation representing the sounds of all the parts of an ensemble or a work for solo performer or electronic media.  (Deprecated)",Do not confuse with Part.,http://rdaregistry.info/termList/extentNoteMus/1001,Deprecated
condensed score (Deprecated),reduced score (Deprecated),"A score in which the number of staves is reduced to two or a few, generally organized by instrumental sections, and often with cues for individual parts.  (Deprecated)",,http://rdaregistry.info/termList/extentNoteMus/1002,Deprecated
study score (Deprecated),,"A score issued in a musical image of reduced size, not primarily intended for use in performance. A descriptive phrase such as ""Study score"", ""Miniature score"", ""Taschenpartitur"", ""Partition de poche"", etc., usually appears on the resource. (Deprecated)",,http://rdaregistry.info/termList/extentNoteMus/1003,Deprecated
piano conductor part (Deprecated),,"A performance part for a piano performer in an ensemble, with cues for the other instruments that enable the performer of that part also to conduct. (Deprecated)",,http://rdaregistry.info/termList/extentNoteMus/1004,Deprecated
violin conductor part (Deprecated),,"A performance part for a violin performer in an ensemble, with cues for the other instruments that enable the performer of that part also to conduct. (Deprecated)",,http://rdaregistry.info/termList/extentNoteMus/1005,Deprecated
vocal score (Deprecated),,"A score showing all vocal parts, with the instrumental accompaniment either arranged for keyboard(s) or other chordal instrument(s) or omitted. (Deprecated)",,http://rdaregistry.info/termList/extentNoteMus/1006,Deprecated
piano score (Deprecated),,A reduction of an instrumental work or a vocal work with instruments to a version for piano. May include the words of a vocal work. (Deprecated),,http://rdaregistry.info/termList/extentNoteMus/1007,Deprecated
chorus score (Deprecated),,"A score of a work for solo voices and chorus showing only the parts for chorus, at least in those portions of the work in which the chorus sings, with the instrumental accompaniment either arranged for keyboard(s) or other chordal instruments(s) or omitted. (Deprecated)",,http://rdaregistry.info/termList/extentNoteMus/1008,Deprecated
part (Deprecated),,"In the context of notated music, a component consisting of the music for the use of one or more, but not all, performers. (Deprecated)",,http://rdaregistry.info/termList/extentNoteMus/1009,Deprecated
choir book (Deprecated),,"A large music book made to be placed on a stand in front of a choir. Each part is notated separately, usually in the configuration that presents, when the book is open, the soprano and tenor parts on the verso of a leaf, and the alto and bass parts on the recto of the next leaf. (Deprecated)",,http://rdaregistry.info/termList/extentNoteMus/1010,Deprecated
table book (Deprecated),,"A music book made to be placed on a table and displayed in such a way that the performers can read their parts while seated or standing across or around the table. Each part is notated separately, usually in a configuration that presents, when the book is open, different parts in inverted and/or perpendicular positions. (Deprecated)",,http://rdaregistry.info/termList/extentNoteMus/1011,Deprecated
scores (Deprecated),full scores (Deprecated),"Graphical, symbolic, or word-based musical notation representing the sounds of all the parts of an ensemble or a work for solo performer or electronic media.  (Deprecated)",Do not confuse with Parts.,http://rdaregistry.info/termList/extenttNoteMus/1013,Deprecated
condensed scores (Deprecated),reduced scores (Deprecated),"Scores in which the number of staves is reduced to two or a few, generally organized by instrumental sections, and often with cues for individual parts.  (Deprecated)",,http://rdaregistry.info/termList/extenttNoteMus/1014,Deprecated
study scores (Deprecated),,"Scores issued in a musical image of reduced size, not primarily intended for use in performance. A descriptive phrase such as ""Study score"", ""Miniature score"", ""Taschenpartitur"", ""Partition de poche"", etc., usually appears on the resource. (Deprecated)",,http://rdaregistry.info/termList/extenttNoteMus/1015,Deprecated
piano conductor parts (Deprecated),,"Performance parts for a piano performer in an ensemble, with cues for the other instruments that enable the performer of that part also to conduct. (Deprecated)",,http://rdaregistry.info/termList/extenttNoteMus/1016,Deprecated
violin conductor parts (Deprecated),,"Performance parts for a violin performer in an ensemble, with cues for the other instruments that enable the performer of that part also to conduct. (Deprecated)",,http://rdaregistry.info/termList/extenttNoteMus/1017,Deprecated
vocal scores (Deprecated),,"Scores showing all vocal parts, with the instrumental accompaniment either arranged for keyboard(s) or other chordal instrument(s) or omitted. (Deprecated)",,http://rdaregistry.info/termList/extenttNoteMus/1018,Deprecated
piano scores (Deprecated),,Reductions of an instrumental work or a vocal work with instruments to a version for piano. May include the words of a vocal work. (Deprecated),,http://rdaregistry.info/termList/extenttNoteMus/1019,Deprecated
chorus scores (Deprecated),,"Scores of a work for solo voices and chorus showing only the parts for chorus, at least in those portions of the work in which the chorus sings, with the instrumental accompaniment either arranged for keyboard(s) or other chordal instruments(s) or omitted. (Deprecated)",,http://rdaregistry.info/termList/extenttNoteMus/1020,Deprecated
parts (Deprecated),,"In the context of notated music, components consisting of the music for the use of one or more, but not all, performers. (Deprecated)",,http://rdaregistry.info/termList/extenttNoteMus/1021,Deprecated
choir books (Deprecated),,"Large music books made to be placed on a stand in front of a choir. Each part is notated separately, usually in the configuration that presents, when the book is open, the soprano and tenor parts on the verso of a leaf, and the alto and bass parts on the recto of the next leaf. (Deprecated)",,http://rdaregistry.info/termList/extenttNoteMus/1022,Deprecated
table books (Deprecated),,"Music books made to be placed on a table and displayed in such a way that the performers can read their parts while seated or standing across or around the table. Each part is notated separately, usually in a configuration that presents, when the book is open, different parts in inverted and/or perpendicular positions. (Deprecated)",,http://rdaregistry.info/termList/extenttNoteMus/1023,Deprecated
